Date,Open,High,Low,Close,Adj Close,Volume
2021-01-08,78.250000,78.250000,78.250000,78.250000,77.252350,400
2021-01-11,78.250000,78.250000,78.250000,78.250000,77.252350,0
2021-01-12,79.900002,79.900002,79.900002,79.900002,78.881317,300
2021-01-13,79.900002,79.900002,79.900002,79.900002,78.881317,0
2021-01-14,79.900002,79.900002,79.900002,79.900002,78.881317,0
2021-01-15,79.900002,79.900002,79.900002,79.900002,78.881317,0
2021-01-19,79.900002,79.900002,79.900002,79.900002,78.881317,0
2021-01-20,79.900002,79.900002,79.900002,79.900002,78.881317,0
2021-01-21,79.900002,79.900002,79.900002,79.900002,78.881317,0
2021-01-22,77.300003,77.300003,77.000000,77.000000,76.018288,600
2021-01-25,77.000000,77.000000,77.000000,77.000000,76.018288,0
2021-01-26,75.250000,75.250000,75.250000,75.250000,74.290604,200
2021-01-27,75.250000,75.250000,72.000000,72.250000,71.328850,69100
2021-01-28,75.500000,75.500000,75.000000,75.000000,74.043793,900
2021-01-29,75.000000,75.000000,75.000000,75.000000,74.043793,0
2021-02-01,75.000000,75.000000,75.000000,75.000000,74.043793,0
2021-02-02,75.000000,75.000000,75.000000,75.000000,74.043793,0
2021-02-03,75.000000,75.000000,75.000000,75.000000,74.043793,0
2021-02-04,75.000000,75.000000,75.000000,75.000000,74.043793,0
2021-02-05,76.500000,76.500000,76.500000,76.500000,75.524666,100
2021-02-08,78.000000,78.000000,78.000000,78.000000,77.005547,100
2021-02-09,78.000000,78.000000,78.000000,78.000000,77.005547,0
2021-02-10,76.500000,77.500000,76.500000,77.500000,76.511925,300
2021-02-11,77.500000,77.500000,77.500000,77.500000,76.511925,0
2021-02-12,77.500000,77.500000,77.500000,77.500000,76.511925,0
2021-02-16,77.500000,77.500000,77.500000,77.500000,76.511925,0
2021-02-17,76.250000,77.500000,76.250000,77.500000,76.511925,400
2021-02-18,77.500000,77.500000,77.500000,77.500000,76.511925,0
2021-02-19,77.500000,77.500000,77.500000,77.500000,76.511925,0
2021-02-22,77.500000,77.500000,77.500000,77.500000,76.511925,100
2021-02-23,77.500000,77.500000,77.500000,77.500000,76.511925,0
