Date,Open,High,Low,Close,Adj Close,Volume
2020-11-17,77.239998,78.500000,75.760002,77.870003,77.870003,705200
2020-11-18,77.980003,78.489998,75.430000,75.519997,75.519997,648500
2020-11-19,76.129997,78.680000,75.879997,77.930000,77.930000,552100
2020-11-20,78.139999,78.970001,77.279999,78.379997,78.379997,485600
2020-11-23,78.750000,80.889999,78.269997,79.839996,79.839996,485300
2020-11-24,80.699997,80.769997,76.660004,77.669998,77.669998,597600
2020-11-25,77.949997,79.910004,77.559998,78.320000,78.320000,584100
2020-11-27,78.980003,79.449997,76.900002,79.129997,79.129997,295800
2020-11-30,79.190002,79.669998,76.620003,78.430000,78.430000,921000
2020-12-01,79.309998,79.330002,76.620003,77.370003,77.370003,502600
2020-12-02,76.989998,78.279999,75.610001,77.669998,77.669998,401700
2020-12-03,77.709999,78.989998,77.029999,78.150002,78.150002,291900
2020-12-04,78.360001,79.500000,77.000000,77.089996,77.089996,468500
2020-12-07,77.000000,77.550003,75.559998,76.540001,76.540001,564000
2020-12-08,76.250000,78.339996,75.599998,78.099998,78.099998,704200
2020-12-09,78.489998,79.669998,75.709999,76.709999,76.709999,353200
2020-12-10,76.260002,77.180000,75.070000,76.510002,76.510002,268600
2020-12-11,76.500000,77.300003,74.010002,74.320000,74.320000,448000
2020-12-14,75.360001,78.160004,74.669998,76.160004,76.160004,540400
2020-12-15,77.010002,78.330002,76.120003,78.230003,78.230003,360900
2020-12-16,78.660004,81.919998,77.760002,79.540001,79.540001,721600
2020-12-17,80.000000,81.720001,79.510002,80.830002,80.830002,409300
2020-12-18,81.180000,83.400002,80.690002,83.050003,83.050003,1351300
2020-12-21,81.500000,84.230003,81.040001,82.980003,82.980003,651200
2020-12-22,83.500000,87.709999,83.160004,87.570000,87.570000,734300
2020-12-23,88.089996,88.449997,86.050003,86.610001,86.610001,495400
2020-12-24,86.739998,88.199997,85.620003,85.849998,85.849998,241500
2020-12-28,86.750000,87.419998,85.599998,87.080002,87.080002,310900
2020-12-29,87.519997,87.589996,82.110001,83.639999,83.639999,561600
2020-12-30,84.000000,85.180000,83.169998,83.459999,83.459999,232600
2020-12-31,83.459999,83.459999,80.129997,80.290001,80.290001,460900
2021-01-04,80.470001,82.769997,78.849998,79.379997,79.379997,689000
2021-01-05,79.639999,81.519997,79.230003,81.160004,81.160004,473100
2021-01-06,80.199997,80.980003,78.540001,79.449997,79.449997,587300
2021-01-07,80.089996,86.510002,79.529999,84.970001,84.970001,726000
2021-01-08,85.320000,86.199997,83.230003,83.919998,83.919998,532900
2021-01-11,83.650002,87.410004,82.279999,87.059998,87.059998,496100
2021-01-12,87.419998,87.940002,85.629997,85.949997,85.949997,656600
2021-01-13,86.349998,88.699997,84.019997,87.290001,87.290001,487400
2021-01-14,87.730003,89.230003,86.680000,88.120003,88.120003,561800
2021-01-15,87.750000,93.800003,87.230003,89.209999,89.209999,1203500
2021-01-19,89.870003,93.230003,86.529999,91.570000,91.570000,970100
2021-01-20,91.860001,94.550003,91.199997,94.180000,94.180000,754800
2021-01-21,94.550003,99.800003,93.800003,96.550003,96.550003,1069300
2021-01-22,95.519997,99.070000,94.279999,98.940002,98.940002,679000
2021-01-25,100.050003,154.750000,99.540001,115.809998,115.809998,10042400
2021-01-26,115.629997,126.699997,111.449997,126.400002,126.400002,2799000
2021-01-27,129.000000,197.399994,128.559998,161.160004,161.160004,7410700
2021-01-28,136.589996,150.960007,115.080002,122.000000,122.000000,3992600
2021-01-29,128.460007,129.800003,119.459999,120.099998,120.099998,2012800
2021-02-01,120.000000,126.610001,114.000000,122.389999,122.389999,1278800
2021-02-02,116.010002,119.360001,103.639999,113.470001,113.470001,1551400
2021-02-03,112.080002,116.610001,110.599998,116.519997,116.519997,787100
2021-02-04,118.809998,118.809998,114.139999,116.029999,116.029999,655300
2021-02-05,117.500000,123.449997,115.379997,118.970001,118.970001,744100
2021-02-08,121.150002,125.650002,117.230003,124.669998,124.669998,880600
2021-02-09,125.000000,126.349998,120.330002,126.199997,126.199997,912800
2021-02-10,127.000000,129.710007,122.000000,127.239998,127.239998,1495400
2021-02-11,134.960007,135.000000,122.029999,128.910004,128.910004,2891800
2021-02-12,130.000000,137.789993,129.000000,133.399994,133.399994,1194500
2021-02-16,133.669998,134.679993,120.309998,122.480003,122.480003,1463600
2021-02-17,122.000000,123.889999,119.449997,121.739998,121.739998,975000
2021-02-18,118.500000,123.529999,117.360001,122.769997,122.769997,644500
2021-02-19,124.000000,127.559998,123.680000,125.699997,125.699997,516700
2021-02-22,125.599998,126.000000,119.830002,121.510002,121.510002,768600
2021-02-23,115.370003,118.589996,108.940002,118.139999,118.139999,788000
2021-02-24,119.139999,122.449997,116.449997,122.099998,122.099998,641100
