Date,Open,High,Low,Close,Adj Close,Volume
2020-11-17,52.360001,53.480000,51.779999,53.349998,50.279221,1925400
2020-11-18,53.349998,55.099998,53.330002,54.290001,51.165119,2557700
2020-11-19,54.279999,56.310001,54.200001,55.970001,52.748417,2616600
2020-11-20,56.900002,59.320000,56.740002,58.509998,55.142216,5921400
2020-11-23,58.740002,60.029999,58.380001,58.810001,55.424953,5135900
2020-11-24,59.000000,60.180000,55.720001,58.990002,55.594589,8061800
2020-11-25,58.500000,60.180000,57.340000,60.060001,56.603004,3886100
2020-11-27,60.049999,60.580002,59.009998,59.490002,56.065811,1838900
2020-11-30,59.830002,59.919998,56.720001,56.810001,53.540066,4738800
2020-12-01,57.389999,57.799999,55.900002,57.139999,53.851074,2041000
2020-12-02,56.610001,57.619999,55.509998,57.240002,53.945320,1967600
2020-12-03,57.220001,58.790001,56.599998,57.000000,53.719131,2139700
2020-12-04,56.849998,57.470001,55.799999,56.150002,52.918056,2676500
2020-12-07,56.000000,56.160000,53.959999,55.520000,52.324322,2752600
2020-12-08,55.799999,56.360001,55.099998,56.119999,52.889782,3660000
2020-12-09,56.470001,56.919998,53.590000,54.450001,51.315907,3588000
2020-12-10,53.599998,55.049999,53.139999,54.590000,51.745300,4981000
2020-12-11,54.240002,54.410000,52.840000,53.549999,50.759491,2683300
2020-12-14,53.290001,54.090000,52.570000,52.860001,50.105450,2722100
2020-12-15,52.419998,53.419998,51.509998,53.070000,50.304508,2572400
2020-12-16,53.410000,54.270000,52.119999,52.150002,49.432453,2293700
2020-12-17,52.860001,52.889999,52.099998,52.750000,50.001183,1377500
2020-12-18,53.570000,54.070000,51.820000,52.470001,49.735775,2381500
2020-12-21,51.810001,53.619999,51.689999,53.340000,50.560440,1550700
2020-12-22,53.759998,55.799999,53.630001,55.369999,52.484653,3016900
2020-12-23,55.759998,56.689999,55.380001,55.799999,52.892250,1666100
2020-12-24,55.900002,55.900002,54.959999,55.590000,52.693192,821400
2020-12-28,56.360001,57.689999,55.610001,57.250000,54.266685,2697700
2020-12-29,57.000000,57.240002,55.150002,56.090000,53.167137,1656300
2020-12-30,56.439999,57.349998,55.939999,56.360001,53.423065,1210700
2020-12-31,56.880001,56.880001,55.700001,56.209999,53.280884,1268800
